test_name,start_time,end_time,cfg_if_txqlen,cfg_use_uring,cfg_parallel,cfg_poll_trigger,cfg_poll_timeout,cfg_queue_depth,cfg_buffer_size,cpu_affinity,reads_cnt,reads_success,reads_failed,writes_cnt,writes_success,writes_failed,syscall_cnt,real,cpu_time,user,sys,cpu_percent,iops_nat1,iopcpus_nat1,eth1_tx_packets,eth1_tx_bytes,eth1_tx_errors,eth1_tx_drops,eth1_tx_overrun,eth1_rx_packets,eth1_rx_bytes,eth1_rx_errors,eth1_rx_drops,eth1_rx_overrun,eth1_pps,eth1_bps,eth1_bitps,eth1_packet_loss,nat1_tx_packets,nat1_tx_bytes,nat1_tx_errors,nat1_tx_drops,nat1_tx_overrun,nat1_rx_packets,nat1_rx_bytes,nat1_rx_errors,nat1_rx_drops,nat1_rx_overrun,nat1_pps,nat1_bps,nat1_bitps,nat1_packet_loss,eth2_tx_packets,eth2_tx_bytes,eth2_tx_errors,eth2_tx_drops,eth2_tx_overrun,eth2_rx_packets,eth2_rx_bytes,eth2_rx_errors,eth2_rx_drops,eth2_rx_overrun,eth2_pps,eth2_bps,eth2_bitps,eth2_packet_loss,context_switches,voluntary_context_switches,involuntary_context_switches
liburing2_32G_4800Mbit,57653.621908052,57723.791713193,1000,2,0,1000,1000,2,2048,0,8149237,8149235,2,8149235,8149235,0,8591673,70.169805,69.557545,8.73246,61.484299,99,232000,234000,20,2463,0,0,0,20846013,31060526366,0,0,0,297000,442653000,3541224000,0.00,8149235,12028213415,0,12696796,0,8149235,12028213415,0,0,0,116000,171417000,1371336000,60.91,8126097,12107850078,0,0,0,21,2505,0,0,0,115000,172552000,1380416000,0.00,1446,1037,409
liburing2_32G_4800Mbit,57725.797156221,57796.390681335,1000,2,0,1000,1000,2,2048,0,8319593,8319593,0,8319593,8319593,0,8684294,70.593525,69.971322,8.90678,61.880644,99,235000,237000,21,2504,0,0,0,20874741,31103332486,0,0,0,295000,440600000,3524800000,0.00,8319594,12279667569,0,12555164,0,8319593,12279667517,0,0,0,117000,173950000,1391600000,60.15,8311876,12384665035,0,0,0,22,2546,0,0,0,117000,175437000,1403496000,0.00,1866,1452,414
liburing2_32G_4800Mbit,57798.395561391,57869.59881826,1000,2,0,1000,1000,2,2048,0,8322048,8322048,0,8322048,8322048,0,8898762,70.664320,70.72001,8.353289,61.718712,99,235000,237000,21,2498,0,0,0,20848880,31064799595,0,0,0,295000,439612000,3516896000,0.00,8322048,12283289666,0,12526849,0,8322048,12283289666,0,0,0,117000,173826000,1390608000,60.08,8315856,12390595258,0,0,0,21,2498,0,0,0,117000,175345000,1402760000,0.00,1014,832,182
liburing2_32G_4800Mbit,57871.64668500,57940.966085171,1000,2,0,1000,1000,2,2048,0,8314681,8314681,0,8314681,8314681,0,8794000,69.901416,68.928457,7.988033,60.940424,98,237000,241000,21,2502,0,0,0,20833662,31042121927,0,0,0,298000,444086000,3552688000,0.00,8314681,12272413130,0,12518998,0,8314681,12272413130,0,0,0,118000,175568000,1404544000,60.09,8306520,12376681770,0,0,0,21,2502,0,0,0,118000,177060000,1416480000,0.00,1063,885,178
liburing2_32G_4800Mbit,57942.971312220,58005.953037137,1000,2,0,1000,1000,2,2048,0,4993912,4993912,0,4993912,4993912,0,8967830,62.981724,62.623656,7.143650,55.480006,99,158000,159000,21,2502,0,0,0,21750965,32408907667,0,0,0,345000,514582000,4116656000,0.00,4993912,7370960933,0,16757070,0,4993912,7370960933,0,0,0,79000,117034000,936272000,77.04,4985988,7429090489,0,0,0,22,2544,0,0,0,79000,117957000,943656000,0.00,1390,102,1288
liburing4_32G_4800Mbit,58020.269372698,58091.936133700,1000,2,0,1000,1000,4,2048,0,10069193,10069189,4,10069189,10069189,0,6409627,71.666761,70.792899,6.798447,63.994452,98,281000,284000,20,2464,0,0,0,20401184,30397734004,0,0,0,284000,424158000,3393264000,0.00,10069189,14862069791,0,10332013,0,10069189,14862069791,0,0,0,140000,207379000,1659032000,50.64,10013652,14920309851,0,0,0,22,2548,0,0,0,139000,208192000,1665536000,0.00,1994,1576,418
liburing4_32G_4800Mbit,58093.941244638,58163.660314617,1000,2,0,1000,1000,4,2048,0,10303407,10303407,0,10303407,10303407,0,6006898,69.719069,69.159459,6.688427,62.471032,99,295000,297000,21,2502,0,0,0,20750198,30917764840,0,0,0,297000,443462000,3547696000,0.00,10303407,15207775556,0,10446808,0,10303407,15207775556,0,0,0,147000,218129000,1745032000,50.35,10219796,15227464412,0,0,0,22,2544,0,0,0,146000,218411000,1747288000,0.00,1469,1242,227
liburing4_32G_4800Mbit,58165.665101616,58236.484727013,1000,2,0,1000,1000,4,2048,0,10350673,10350673,0,10350673,10350673,0,5948552,70.819625,70.200707,6.965252,63.235455,99,292000,294000,22,2545,0,0,0,20582888,30668471488,0,0,0,290000,433054000,3464432000,0.00,10350673,15277540169,0,10232231,0,10350673,15277540169,0,0,0,146000,215726000,1725808000,49.71,10295814,15340731228,0,0,0,22,2545,0,0,0,145000,216618000,1732944000,0.00,2337,2046,291
liburing4_32G_4800Mbit,58238.489733519,58307.652630552,1000,2,0,1000,1000,4,2048,0,9440410,9440410,0,9440410,9440410,0,6211214,69.162897,68.664863,6.775367,61.889496,99,272000,274000,21,2496,0,0,0,20393065,30385636668,0,0,0,294000,439340000,3514720000,0.00,9440410,13933991976,0,10952672,0,9440410,13933991976,0,0,0,136000,201468000,1611744000,53.71,9375084,13968846426,0,0,0,20,2454,0,0,0,135000,201972000,1615776000,0.00,1759,1274,485
liburing4_32G_4800Mbit,58309.657385869,58377.739410638,1000,2,0,1000,1000,4,2048,0,9546557,9546557,0,9546557,9546557,0,5452002,68.82024,67.349122,6.644656,60.704466,98,280000,283000,21,2505,0,0,0,20620886,30725088534,0,0,0,302000,451295000,3610360000,0.00,9546558,14090666432,0,11074345,0,9546557,14090666380,0,0,0,140000,206966000,1655728000,53.70,9444697,14072569771,0,0,0,21,2505,0,0,0,138000,206700000,1653600000,0.00,2062,1452,610
